MTU (CET/CEST);Generation - Solar [MW] Day Ahead/ Italy (IT);Generation - Solar [MW] Intraday / Italy (IT);Generation - Solar [MW] Current / Italy (IT);Generation - Wind Offshore [MW] Day Ahead/ Italy (IT);Generation - Wind Offshore [MW] Intraday / Italy (IT);Generation - Wind Offshore [MW] Current / Italy (IT);Generation - Wind Onshore [MW] Day Ahead/ Italy (IT);Generation - Wind Onshore [MW] Intraday / Italy (IT);Generation - Wind Onshore [MW] Current / Italy (IT)
03.01.2025 02:45 - 03.01.2025 03:00;0;N/A;0;n/e;n/e;n/e;3325;3325;n/e
03.01.2025 03:00 - 03.01.2025 03:15;0;N/A;0;n/e;n/e;n/e;3404;3404;n/e
03.01.2025 03:15 - 03.01.2025 03:30;0;N/A;0;n/e;n/e;n/e;3461;3461;n/e
03.01.2025 03:30 - 03.01.2025 03:45;0;N/A;0;n/e;n/e;n/e;3532;3532;n/e
03.01.2025 03:45 - 03.01.2025 04:00;0;N/A;0;n/e;n/e;n/e;3542;3542;n/e
03.01.2025 04:00 - 03.01.2025 04:15;0;N/A;0;n/e;n/e;n/e;3536;4137;n/e
03.01.2025 04:15 - 03.01.2025 04:30;0;N/A;0;n/e;n/e;n/e;3465;4176;n/e
03.01.2025 04:30 - 03.01.2025 04:45;0;N/A;0;n/e;n/e;n/e;3536;4217;n/e
03.01.2025 04:45 - 03.01.2025 05:00;0;N/A;0;n/e;n/e;n/e;3576;4368;n/e
03.01.2025 05:00 - 03.01.2025 05:15;0;N/A;0;n/e;n/e;n/e;3708;4506;n/e
03.01.2025 05:15 - 03.01.2025 05:30;0;N/A;0;n/e;n/e;n/e;3806;4490;n/e
03.01.2025 05:30 - 03.01.2025 05:45;0;N/A;0;n/e;n/e;n/e;3975;4501;n/e
03.01.2025 05:45 - 03.01.2025 06:00;0;N/A;0;n/e;n/e;n/e;4067;4471;n/e
03.01.2025 06:00 - 03.01.2025 06:15;0;N/A;0;n/e;n/e;n/e;4138;4564;n/e
03.01.2025 06:15 - 03.01.2025 06:30;0;N/A;0;n/e;n/e;n/e;4225;4666;n/e
03.01.2025 06:30 - 03.01.2025 06:45;0;N/A;0;n/e;n/e;n/e;4307;4665;n/e
03.01.2025 06:45 - 03.01.2025 07:00;0;N/A;0;n/e;n/e;n/e;4405;4690;n/e
03.01.2025 07:00 - 03.01.2025 07:15;0;N/A;0;n/e;n/e;n/e;4394;4600;n/e
03.01.2025 07:15 - 03.01.2025 07:30;0;N/A;3;n/e;n/e;n/e;4402;4529;n/e
03.01.2025 07:30 - 03.01.2025 07:45;32;N/A;62;n/e;n/e;n/e;4380;4543;n/e
03.01.2025 07:45 - 03.01.2025 08:00;147;N/A;181;n/e;n/e;n/e;4418;4635;n/e
03.01.2025 08:00 - 03.01.2025 08:15;539;N/A;533;n/e;n/e;n/e;4495;4716;n/e
03.01.2025 08:15 - 03.01.2025 08:30;936;N/A;921;n/e;n/e;n/e;4599;4802;n/e
03.01.2025 08:30 - 03.01.2025 08:45;1316;N/A;1369;n/e;n/e;n/e;4664;4763;n/e
03.01.2025 08:45 - 03.01.2025 09:00;1926;N/A;1926;n/e;n/e;n/e;4720;4866;n/e
03.01.2025 09:00 - 03.01.2025 09:15;2523;N/A;2542;n/e;n/e;n/e;4914;4794;n/e
03.01.2025 09:15 - 03.01.2025 09:30;3069;N/A;3038;n/e;n/e;n/e;4778;5047;n/e
03.01.2025 09:30 - 03.01.2025 09:45;3588;N/A;3550;n/e;n/e;n/e;4743;5117;n/e
03.01.2025 09:45 - 03.01.2025 10:00;4077;N/A;4027;n/e;n/e;n/e;4706;4932;n/e
03.01.2025 10:00 - 03.01.2025 10:15;4500;N/A;4603;n/e;n/e;n/e;4997;5202;n/e
03.01.2025 10:15 - 03.01.2025 10:30;4904;N/A;4883;n/e;n/e;n/e;5053;5454;n/e
03.01.2025 10:30 - 03.01.2025 10:45;5200;N/A;5299;n/e;n/e;n/e;5185;5605;n/e
03.01.2025 10:45 - 03.01.2025 11:00;5589;N/A;5563;n/e;n/e;n/e;5266;5553;n/e
03.01.2025 11:00 - 03.01.2025 11:15;5736;N/A;5641;n/e;n/e;n/e;5337;5579;n/e
03.01.2025 11:15 - 03.01.2025 11:30;5838;N/A;5761;n/e;n/e;n/e;5427;5788;n/e
03.01.2025 11:30 - 03.01.2025 11:45;6026;N/A;5972;n/e;n/e;n/e;5300;5635;n/e
